gene1,gene2,combined_score
A1BG,A2M,692
A1BG,AFM,544
A1BG,AHSG,849
A1BG,ALDOA,448
A1BG,AMBP,716
A1BG,APCS,460
A1BG,APOA1,509
A1BG,APOA2,434
A1BG,APOA4,465
A1BG,APOH,525
A1BG,AZGP1,535
A1BG,C1R,457
A1BG,C1S,503
A1BG,C3,430
A1BG,C9,442
A1BG,CFB,529
A1BG,CFD,521
A1BG,CLU,435
A1BG,COL6A1,405
A1BG,CP,516
A1BG,CRKL,553
A1BG,FGA,578
A1BG,FGB,599
A1BG,FGG,456
A1BG,FN1,513
A1BG,GC,622
A1BG,GRB2,992
A1BG,HP,628
A1BG,HPX,632
A1BG,HRG,496
A1BG,ITIH1,493
A1BG,ITIH2,491
A1BG,ITIH3,484
A1BG,ITIH4,588
A1BG,KNG1,417
A1BG,LRG1,524
A1BG,ORM1,592
A1BG,ORM2,549
A1BG,SERPINA1,735
A1BG,SERPINA3,663
A1BG,TTR,531
A2M,ACAN,582
A2M,ACTG1,434
A2M,ACTN4,448
A2M,ADAM10,497
A2M,ADAMTS1,428
A2M,AFM,478
A2M,AGT,471
A2M,AHSG,803
A2M,ALDOA,464
A2M,AMBP,871
A2M,APCS,534
A2M,APLP2,429
A2M,APOA1,998
A2M,APOA2,772
A2M,APOA4,644
A2M,APOB,585
A2M,APOC1,622
A2M,APOC2,623
A2M,APOC3,660
A2M,APOD,574
A2M,APOE,975
A2M,APOH,752
A2M,APOL1,491
A2M,APP,905
A2M,AZGP1,443
A2M,BLMH,448
A2M,C1QBP,669
A2M,C1R,694
A2M,C1S,578
A2M,C3,407
A2M,C4A,530
A2M,C4BPA,448
A2M,C7,571
A2M,C9,463
A2M,CD5L,512
A2M,CFB,726
A2M,CFH,559
A2M,CFI,502
A2M,CFP,580
A2M,CLEC3B,542
A2M,CLU,896
A2M,CP,889
A2M,CPB2,805
A2M,CSPG4,437
A2M,CST3,414
A2M,CTSB,768
A2M,ELANE,735
A2M,F10,475
A2M,F11,620
A2M,F12,534
A2M,F13A1,572
A2M,F13B,534
A2M,F2,700
A2M,F5,610
A2M,F7,526
A2M,F8,610
A2M,F9,428
A2M,FBN1,517
A2M,FCGBP,543
A2M,FGA,832
A2M,FGB,841
A2M,FGG,761
A2M,FN1,851
A2M,GAPDH,542
A2M,GC,654
A2M,HP,997
A2M,HPR,634
A2M,HPX,824
A2M,HRG,762
A2M,HSP90B1,593
A2M,HSPA4,574
A2M,HSPA5,972
A2M,IGF2R,433
A2M,IGFBP1,585
A2M,IGFBP3,563
A2M,ITIH2,632
A2M,ITIH3,468
A2M,ITIH4,447
A2M,KLKB1,957
A2M,KNG1,927
A2M,LCAT,608
A2M,LGALS3BP,563
A2M,LPA,450
A2M,LRP1,998
A2M,LUM,435
A2M,MASP1,438
A2M,MASP2,411
A2M,MBL2,640
A2M,MMP19,585
A2M,MMP2,953
A2M,MMP9,845
A2M,NME2,444
A2M,ORM1,809
A2M,ORM2,808
A2M,PDGFRB,578
A2M,PF4,467
A2M,PIGR,575
A2M,PLG,779
A2M,PON1,516
A2M,PROC,931
A2M,PRSS3,429
A2M,PTGDS,560
A2M,PZP,617
A2M,SAA1,448
A2M,SAA2,430
A2M,SELENBP1,456
A2M,SELENOP,648
A2M,SERPINA1,980
A2M,SERPINA10,435
A2M,SERPINA3,929
A2M,SERPINA4,408
A2M,SERPINA5,485
A2M,SERPINA7,459
A2M,SERPINB1,568
A2M,SERPIND1,771
A2M,SERPINE1,804
A2M,SERPINF1,880
A2M,SERPINF2,968
A2M,SERPING1,905
A2M,SHBG,414
A2M,SORL1,585
A2M,SPARCL1,418
A2M,TGFB1,910
A2M,THBS1,592
A2M,TIMP1,736
A2M,TTR,905
A2M,VTN,524
A2M,VWF,603
ABI1,ABI3BP,688
ABI1,ACTB,665
ABI1,ACTG1,610
ABI1,ACTN4,586
ABI1,ACTR2,847
ABI1,ACTR3,839
ABI1,ARPC1B,716
ABI1,ARPC2,815
ABI1,ARPC3,781
ABI1,ARPC4,671
ABI1,ARPC5,747
ABI1,ARPC5L,704
ABI1,BRK1,999
ABI1,CDC42,816
ABI1,CFL1,597
ABI1,CLTC,482
ABI1,CRKL,653
ABI1,CTTN,677
ABI1,CYFIP1,999
ABI1,ERBIN,470
ABI1,FCGR3A,507
ABI1,GRB2,730
ABI1,HNRNPK,892
ABI1,HSP90AA1,528
ABI1,ITGB1,428
ABI1,LAMTOR1,424
ABI1,MAPK1,450
ABI1,MCAM,408
ABI1,NAP1L1,438
ABI1,NCK2,901
ABI1,PFN1,568
ABI1,RAB18,400
ABI1,RAB7A,443
ABI1,RAC2,700
ABI1,SRC,878
ABI1,SYK,601
ABI1,TFRC,424
ABI1,UBASH3B,424
ABI1,VAMP3,436
ABI1,VASP,848
ABI1,WAS,894
ABI1,WASF2,999
ABI1,WIPF1,595
ACAA1,ATP5F1A,437
ACAA1,DECR1,637
ACAA1,DLD,466
ACAA1,DLST,852
ACAA1,ECH1,637
ACAA1,ECHS1,977
ACAA1,ECI1,825
ACAA1,ETFA,729
ACAA1,ETFB,517
ACAA1,GPI,402
ACAA1,HSD17B10,969
ACAA1,IDH1,484
ACAA1,MDH2,455
ACAA1,NDUFS8,549
ACAA1,SCP2,982
ACAA1,VDAC3,545
ACAN,ACTB,578
ACAN,ADAMTS1,860
ACAN,ADIPOQ,406
ACAN,AGRN,570
ACAN,ALCAM,434
ACAN,ANXA2,442
ACAN,ASPN,566
ACAN,B4GAT1,400
ACAN,BGN,928
ACAN,BMP1,553
ACAN,CASP3,496
ACAN,CD34,548
ACAN,CD44,761
ACAN,CDH2,415
ACAN,CFP,426
ACAN,CILP,555
ACAN,COL1A1,835
ACAN,COMP,980
ACAN,CSPG4,407
ACAN,CTSS,405
ACAN,ENG,608
ACAN,FBLN1,954
ACAN,FBLN2,931
ACAN,FBN1,470
ACAN,FN1,994
ACAN,GAPDH,715
ACAN,HABP2,687
ACAN,HLA-DRA,798
ACAN,HSPG2,891
ACAN,HTRA1,843
ACAN,ITGB1,532
ACAN,LPL,406
ACAN,LUM,920
ACAN,LYVE1,424
ACAN,MMP2,804
ACAN,MMP9,802
ACAN,NCAM1,505
ACAN,NID1,584
ACAN,OGN,714
ACAN,OMD,716
ACAN,PECAM1,461
ACAN,POSTN,637
ACAN,PRG4,900
ACAN,PTPRC,529
ACAN,PTPRF,445
ACAN,SDC4,707
ACAN,SERPINE1,524
ACAN,SPARC,698
ACAN,SPP1,736
ACAN,TGFB1,725
ACAN,THBS1,576
ACAN,THBS4,483
ACAN,TIMP1,646
ACAN,TNC,894
ACAN,TNXB,636
ACAN,VCAN,988
ACAN,VTN,533
ACO1,ALAD,711
ACO1,ALDOA,445
ACO1,APP,511
ACO1,ATP5F1A,556
ACO1,ATP5MG,537
ACO1,CIAO1,498
ACO1,CIAO2A,459
ACO1,CP,429
ACO1,CYC1,517
ACO1,DLD,625
ACO1,DLST,682
ACO1,ECHS1,653
ACO1,ECI1,494
ACO1,ENO1,605
ACO1,ENO2,437
ACO1,ETFA,410
ACO1,FTH1,678
ACO1,FTL,799
ACO1,G6PD,569
ACO1,GAPDH,620
ACO1,GLRX,559
ACO1,GLRX3,883
ACO1,GOT2,688
ACO1,GPI,695
ACO1,GPX3,690
ACO1,GPX4,453
ACO1,GSR,497
ACO1,HP,450
ACO1,HSP90AA1,477
ACO1,HSPA4,453
