gene1,gene2,combined_score
ABAT,ECHDC1,852
ABAT,EHHADH,936
ABAT,FH,754
ABAT,GATM,814
ABAT,GLUD1,729
ABAT,HIBADH,938
ABAT,PCCA,821
ABAT,PCCB,826
ABAT,SORD,707
ABCA1,APOA1,999
ABCA1,APOA2,874
ABCA1,APOB,861
ABCA1,APOC3,744
ABCA1,APOE,980
ABCA1,CD36,831
ABCA1,CDC42,748
ABCA1,CETP,831
ABCA1,GULP1,829
ABCA1,LCAT,912
ABCA1,LIPA,736
ABCA1,LIPC,746
ABCA1,LPA,740
ABCA1,NIPSNAP3A,707
ABCA1,NIPSNAP3B,715
ABCA1,NPC1,816
ABCA1,PLTP,829
ABCA1,RXRA,916
ABCA1,SCARB1,934
ABCA1,SCARB2,830
ABCA1,SNTB1,750
ABCA1,SNTB2,830
ABCA1,SPTLC1,871
ABCA1,STAT3,815
ABCA1,UTRN,706
ABCB10,ABCB7,791
ABCB10,CPOX,713
ABCB10,FECH,994
ABCB10,PPOX,711
ABCB10,TMEM14C,729
ABCB6,ATP1A1,734
ABCB6,ATP1A2,732
ABCB6,ATP1B1,720
ABCB6,ATP1B3,722
ABCB6,ATP2A2,736
ABCB6,FECH,761
ABCB6,FXYD1,720
ABCB6,PLN,720
ABCB6,SLC9A1,728
ABCB7,ACO1,871
ABCB7,CIAO3,708
ABCB7,FECH,906
ABCB7,FXN,751
ABCB7,GLRX5,825
ABCB7,HSCB,784
ABCB7,IBA57,713
ABCB7,ISCA2,719
ABCB7,ISCU,746
ABCB7,LYRM4,719
ABCB7,NFS1,782
ABCB7,NFU1,719
ABCB7,NUBP1,938
ABCB7,NUBP2,870
ABCB7,PPOX,739
ABCB7,TMEM14C,811
ABCC1,MRPS7,925
ABCC1,MVP,702
ABCC3,MRPS7,769
ABCC3,SLCO2B1,728
ABCC4,MRPS7,948
ABCC4,SLCO2B1,713
ABCC4,SNX27,799
ABCD1,ABCD3,980
ABCD1,ACBD5,771
ABCD1,ACSL1,703
ABCD1,ACSL3,745
ABCD1,ACSL4,708
ABCD1,AGPS,721
ABCD1,BCAP31,837
ABCD1,PEX11B,812
ABCD1,PEX14,750
ABCD1,PEX19,951
ABCD1,PEX3,907
ABCD1,SPAST,889
ABCD3,ACBD5,771
ABCD3,ACOX1,823
ABCD3,ACOX3,759
ABCD3,ACSL3,748
ABCD3,ACSL4,702
ABCD3,FIS1,720
ABCD3,PEX11B,867
ABCD3,PEX14,891
ABCD3,PEX19,991
ABCD3,PEX3,942
ABCD3,PEX5,906
ABCD3,SCP2,771
ABCD3,TOMM20,770
ABCE1,ABCF1,863
ABCE1,ABCF2,921
ABCE1,CCDC124,875
ABCE1,CD74,761
ABCE1,CIAO1,720
ABCE1,DDX18,754
ABCE1,DENR,845
ABCE1,DHX15,784
ABCE1,EEF2,804
ABCE1,EIF1,983
ABCE1,EIF1AX,941
ABCE1,EIF1B,715
ABCE1,EIF2D,722
ABCE1,EIF2S1,977
ABCE1,EIF2S2,953
ABCE1,EIF2S3,964
ABCE1,EIF3A,995
ABCE1,EIF3B,995
ABCE1,EIF3C,988
ABCE1,EIF3D,940
ABCE1,EIF3E,956
ABCE1,EIF3F,918
ABCE1,EIF3G,939
ABCE1,EIF3H,936
ABCE1,EIF3I,982
ABCE1,EIF3J,996
ABCE1,EIF3K,875
ABCE1,EIF3L,926
ABCE1,EIF3M,971
ABCE1,EIF5,986
ABCE1,EIF5B,780
ABCE1,EIF6,720
ABCE1,EPRS1,791
ABCE1,ETF1,999
ABCE1,FAU,993
ABCE1,FLNA,815
ABCE1,GSPT1,852
ABCE1,GTPBP4,799
ABCE1,HBS1L,959
ABCE1,LTN1,789
ABCE1,MMS19,804
ABCE1,MRRF,824
ABCE1,MRTO4,786
ABCE1,NEMF,760
ABCE1,PA2G4,892
ABCE1,PABPC1,712
ABCE1,PELO,950
ABCE1,PSMD14,793
ABCE1,RACK1,988
ABCE1,RNASEL,994
ABCE1,RPL10,857
ABCE1,RPL10A,862
ABCE1,RPL11,881
ABCE1,RPL12,919
ABCE1,RPL13,856
ABCE1,RPL13A,890
ABCE1,RPL14,861
ABCE1,RPL15,855
ABCE1,RPL17,852
ABCE1,RPL18,860
ABCE1,RPL18A,844
ABCE1,RPL19,872
ABCE1,RPL21,916
ABCE1,RPL22,894
ABCE1,RPL23,909
ABCE1,RPL23A,862
ABCE1,RPL24,825
ABCE1,RPL26,871
ABCE1,RPL26L1,829
ABCE1,RPL27,867
ABCE1,RPL27A,856
ABCE1,RPL28,840
ABCE1,RPL29,833
ABCE1,RPL3,899
ABCE1,RPL30,835
ABCE1,RPL31,844
ABCE1,RPL32,870
ABCE1,RPL34,847
ABCE1,RPL35,860
ABCE1,RPL35A,876
ABCE1,RPL36,884
ABCE1,RPL36AL,814
ABCE1,RPL37A,821
ABCE1,RPL38,858
ABCE1,RPL4,968
ABCE1,RPL5,909
ABCE1,RPL6,868
ABCE1,RPL7,914
ABCE1,RPL7A,937
ABCE1,RPL8,878
ABCE1,RPL9,947
ABCE1,RPLP0,992
ABCE1,RPLP1,890
ABCE1,RPS10,958
ABCE1,RPS11,971
ABCE1,RPS12,984
ABCE1,RPS13,978
ABCE1,RPS14,968
ABCE1,RPS15,976
ABCE1,RPS15A,936
ABCE1,RPS16,977
ABCE1,RPS17,969
ABCE1,RPS18,970
ABCE1,RPS19,973
ABCE1,RPS2,973
ABCE1,RPS20,987
ABCE1,RPS21,965
ABCE1,RPS23,994
ABCE1,RPS24,989
ABCE1,RPS25,980
ABCE1,RPS26,972
ABCE1,RPS27,954
ABCE1,RPS28,989
ABCE1,RPS29,973
ABCE1,RPS3,990
ABCE1,RPS3A,983
ABCE1,RPS4X,949
ABCE1,RPS5,972
ABCE1,RPS6,990
ABCE1,RPS7,978
ABCE1,RPS8,975
ABCE1,RPS9,930
ABCE1,RPSA,968
ABCE1,SEC61B,818
ABCE1,SELENOP,841
ABCE1,SMARCA5,703
ABCE1,TSR1,809
ABCE1,UPF1,714
ABCE1,VARS1,704
ABCE1,WDR3,712
ABCE1,WDR36,857
ABCE1,XRN1,726
ABCE1,ZNF598,704
ABCF1,DHX9,921
ABCF1,EEF1G,774
ABCF1,LARP4B,911
ABCF1,MRPL17,766
ABCF1,MRPL19,796
ABCF1,MRPL20,815
ABCF1,MRPL21,793
ABCF1,MRPL27,808
ABCF1,MRPS16,773
ABCF1,MRPS6,760
ABCF1,MRPS9,769
ABCF1,NUFIP2,779
ABCF1,RPL10A,953
ABCF1,RPL11,980
ABCF1,RPL18,934
ABCF1,RPL18A,923
ABCF1,RPL19,947
ABCF1,RPL23,790
ABCF1,RPL23A,810
ABCF1,RPL24,919
ABCF1,RPL30,918
ABCF1,RPL31,923
ABCF1,RPL32,912
ABCF1,RPL35,808
ABCF1,RPL36,922
ABCF1,RPL38,929
ABCF1,RPL5,791
ABCF1,RPL6,921
ABCF1,RPL7A,771
ABCF1,RPL8,952
ABCF1,RPS11,770
ABCF1,RPS15,792
ABCF1,RPS18,812
ABCF1,RPS21,924
ABCF1,RPS23,962
ABCF1,RPS26,918
ABCF1,RPS28,943
ABCF1,RPS29,952
ABCF1,RPS3,789
ABCF2,EIF5B,716
ABCF2,MRPL17,771
ABCF2,MRPL19,770
ABCF2,MRPL20,816
ABCF2,MRPL21,795
ABCF2,MRPL27,808
ABCF2,MRPL4,716
ABCF2,MRPS16,787
ABCF2,MRPS6,758
ABCF2,MRPS9,767
ABCF2,RPL11,798
ABCF2,RPL23,793
ABCF2,RPL23A,805
ABCF2,RPL35,806
ABCF2,RPL5,790
ABCF2,RPS11,769
ABCF2,RPS15,785
ABCF2,RPS18,801
ABCF2,RPS3,793
ABCF3,GCN1,992
ABCF3,MRPL17,769
ABCF3,MRPL19,770
ABCF3,MRPL20,809
ABCF3,MRPL21,794
ABCF3,MRPL27,807
ABCF3,MRPS16,780
ABCF3,MRPS6,758
ABCF3,MRPS9,771
ABCF3,RPL11,796
ABCF3,RPL23,780
ABCF3,RPL23A,795
ABCF3,RPL35,797
ABCF3,RPL5,792
ABCF3,RPS11,766
ABCF3,RPS15,783
ABCF3,RPS18,794
ABCF3,RPS3,786
ABHD12,ABHD16A,855
ABHD12,ABHD4,754
ABHD12,ABHD6,949
ABHD12,DAGLB,746
ABHD12,FAAH,831
ABHD12,MGLL,839
ABHD16A,HM13,711
ABHD16A,PRRC2A,755
ABHD4,ABHD6,742
ABHD4,FAAH,720
ABHD4,GDE1,870
ABHD4,MGLL,747
ABHD5,ALOX12B,859
ABHD5,LIPE,919
ABHD5,MGLL,771
ABHD5,PLIN1,999
ABHD5,PLIN2,898
ABHD5,PLIN3,817
ABHD5,PNPLA2,999
ABHD5,PNPLA4,824
ABHD6,DAGLB,812
ABHD6,FAAH,881
ABHD6,MGLL,904
ABI1,ABI2,996
ABI1,ABI3,752
ABI1,ACTR2,847
ABI1,ACTR3,839
ABI1,ARF1,947
ABI1,ARPC1B,716
ABI1,ARPC2,815
ABI1,ARPC3,781
ABI1,ARPC5,747
ABI1,ARPC5L,704
ABI1,BAIAP2,984
ABI1,BCAR1,783
ABI1,BRK1,999
ABI1,CDC42,816
ABI1,CRK,726
ABI1,CYFIP1,999
ABI1,CYFIP2,999
ABI1,DOCK1,723
ABI1,ELMO2,763
ABI1,ENAH,887
ABI1,EPS8,999
ABI1,GRB2,730
ABI1,HNRNPK,892
ABI1,NCK1,947
ABI1,NCK2,901
ABI1,NCKAP1,999
ABI1,NCKAP1L,999
ABI1,PTK2,751
ABI1,RAC1,774
ABI1,RAC2,700
ABI1,RAPH1,850
ABI1,SHANK3,853
ABI1,SOS1,998
ABI1,SRA1,901
ABI1,SRC,878
ABI1,VASP,848
ABI1,WAS,894
ABI1,WASF2,999
ABI1,WASL,980
ABI2,ABI3,823
ABI2,BAIAP2,970
ABI2,BCAR1,737
ABI2,BRK1,999
ABI2,CDC42,762
ABI2,CYFIP1,999
ABI2,CYFIP2,999
ABI2,DOCK1,712
ABI2,ELMO2,724
ABI2,FNBP1L,764
ABI2,NCK1,818
ABI2,NCK2,891
ABI2,NCKAP1,999
ABI2,NCKAP1L,999
ABI2,RAC1,966
ABI2,RAC2,947
ABI2,RAPH1,827
ABI2,SRA1,900
ABI2,TRIM32,860
ABI2,WAS,873
ABI2,WASF2,999
ABI2,WASL,949
ABI3,ABI3BP,998
ABI3,BRK1,965
ABI3,CYFIP1,991
ABI3,CYFIP2,945
ABI3,NCKAP1,988
ABI3,NCKAP1L,980
ABI3,SRA1,724
ABI3,WAS,784
ABI3,WASF2,965
ABLIM1,ABLIM3,935
ABLIM1,CDC42,923
ABLIM1,RAC2,917
ABLIM3,CDC42,909
ABLIM3,RAC2,908
ABR,RHOA,700
ABRAXAS2,BABAM1,999
ABRAXAS2,BABAM2,999
ABRAXAS2,BRCC3,999
ABRAXAS2,PSMD14,736
ABRAXAS2,SHMT2,999
ABRAXAS2,USP7,844
ACAA1,ACAA2,935
ACAA1,ACAD9,746
ACAA1,ACADL,979
ACAA1,ACADM,811
ACAA1,ACADS,992
ACAA1,ACADSB,991
ACAA1,ACADVL,979
ACAA1,ACAT1,946
ACAA1,ACAT2,923
ACAA1,ACLY,910
ACAA1,ACOX1,998
ACAA1,ACOX2,949
ACAA1,ACOX3,995
ACAA1,ACSL1,751
ACAA1,ACSL5,708
ACAA1,ACSS1,911
ACAA1,ACSS2,918
ACAA1,ACSS3,897
ACAA1,AGPS,802
ACAA1,ALDH2,711
ACAA1,ALDH6A1,952
ACAA1,AUH,734
ACAA1,BDH2,772
ACAA1,CPT2,748
ACAA1,CRYL1,933
ACAA1,CS,942
ACAA1,DBT,848
ACAA1,DLAT,891
ACAA1,DLST,852
ACAA1,ECHDC1,954
ACAA1,ECHDC2,845
ACAA1,ECHS1,977
ACAA1,ECI1,825
ACAA1,ECI2,987
ACAA1,EHHADH,998
ACAA1,ETFA,729
ACAA1,GCDH,723
ACAA1,GNPAT,881
ACAA1,HADH,955
ACAA1,HADHA,997
ACAA1,HADHB,952
ACAA1,HIBCH,726
ACAA1,HMGCL,965
ACAA1,HSD17B10,969
ACAA1,HSD17B4,999
ACAA1,HSDL2,916
ACAA1,IVD,708
ACAA1,OXCT1,942
ACAA1,PCCA,948
ACAA1,PCCB,955
ACAA1,PECR,721
ACAA1,PEX14,748
ACAA1,PEX5,951
ACAA1,SCP2,982
ACAA1,SDHA,712
ACAA1,SUCLA2,860
ACAA1,SUCLG1,908
ACAA1,SUCLG2,866
ACAA1,TECR,756
ACAA2,ACAD8,790
ACAA2,ACAD9,787
ACAA2,ACADL,979
ACAA2,ACADM,937
ACAA2,ACADS,982
ACAA2,ACADSB,975
ACAA2,ACADVL,983
ACAA2,ACAT1,963
ACAA2,ACAT2,922
ACAA2,ACLY,912
ACAA2,ACO2,750
ACAA2,ACOX1,989
ACAA2,ACOX3,986
ACAA2,ACSL1,788
ACAA2,ACSS1,937
ACAA2,ACSS2,933
ACAA2,ACSS3,927
ACAA2,ALDH6A1,957
ACAA2,AUH,727
ACAA2,CPT1A,784
ACAA2,CPT2,822
ACAA2,CRYL1,882
ACAA2,CS,946
ACAA2,DBT,865
ACAA2,DLAT,892
ACAA2,DLST,867
ACAA2,ECH1,744
ACAA2,ECHDC1,957
ACAA2,ECHS1,975
ACAA2,ECI1,859
ACAA2,ECI2,987
ACAA2,EHHADH,995
ACAA2,ETFA,858
ACAA2,ETFB,738
ACAA2,ETFDH,810
ACAA2,GCDH,703
ACAA2,HADH,958
ACAA2,HADHA,998
ACAA2,HADHB,961
ACAA2,HIBCH,730
ACAA2,HMGCL,966
ACAA2,HSD17B10,980
ACAA2,HSDL2,918
ACAA2,MECR,937
ACAA2,MVD,739
ACAA2,MVK,833
ACAA2,OXCT1,959
ACAA2,PCCA,955
ACAA2,PCCB,962
ACAA2,SCP2,742
ACAA2,SDHA,753
ACAA2,SUCLA2,898
ACAA2,SUCLG1,912
ACAA2,SUCLG2,880
ACAA2,UQCRFS1,740
ACACA,ACACB,966
ACACA,ACAT1,962
ACACA,ACAT2,959
ACACA,ACLY,986
ACACA,ACOX1,778
ACACA,ACSF3,929
ACACA,ACSL1,807
ACACA,ACSL3,797
ACACA,ACSS1,957
ACACA,ACSS2,970
ACACA,ADIPOQ,739
ACACA,ALDH18A1,876
ACACA,ALDH6A1,919
ACACA,ALOX12,727
ACACA,ASS1,816
ACACA,CPT1A,848
ACACA,CS,920
ACACA,DGAT1,746
ACACA,DLAT,937
ACACA,FASN,998
ACACA,GART,893
ACACA,GATB,818
ACACA,GPAM,727
ACACA,MCAT,975
ACACA,MCCC1,749
ACACA,MCCC2,840
ACACA,MLYCD,966
ACACA,OXSM,751
ACACA,PC,775
ACACA,PCCA,740
ACACA,PCCB,852
ACACA,PPAT,846
ACACA,PRKAA1,981
ACACA,PRKAB1,956
ACACA,PRKAB2,934
ACACA,PRKAG1,953
ACACA,PRKAG2,927
ACACA,SCD,937
ACACA,SUCLA2,866
ACACA,SUCLG1,844
ACACA,SUCLG2,857
ACACB,ACAT1,953
ACACB,ACAT2,949
ACACB,ACLY,970
ACACB,ACOX1,790
ACACB,ACSF3,924
ACACB,ACSL1,737
ACACB,ACSL3,710
ACACB,ACSS1,950
ACACB,ACSS2,960
ACACB,ALDH18A1,785
ACACB,ALDH6A1,929
ACACB,ASS1,810
ACACB,CPT1A,987
ACACB,CS,901
ACACB,DLAT,934
ACACB,EHHADH,762
ACACB,FASN,993
ACACB,GART,920
ACACB,GATB,816
ACACB,HADHB,717
ACACB,MCAT,969
ACACB,MCCC2,766
ACACB,MLYCD,956
ACACB,OXSM,703
ACACB,PC,712
ACACB,PCCB,837
ACACB,PPAT,823
ACACB,PRKAA1,943
ACACB,PRKAB1,929
ACACB,PRKAB2,929
ACACB,PRKAG1,925
ACACB,PRKAG2,932
ACACB,SCARB1,718
ACACB,SCD,754
ACACB,SP1,756
ACACB,SUCLA2,860
ACACB,SUCLG1,831
ACACB,SUCLG2,849
ACAD11,ECI2,751
ACAD11,HADH,726
ACAD11,HSDL2,818
ACAD11,LSG1,833
ACAD11,MRI1,822
ACAD11,NSFL1C,994
ACAD11,UBXN7,994
ACAD8,ACADS,939
ACAD8,ACADSB,955
ACAD8,DBT,944
ACAD8,ECHS1,962
ACAD8,ECI2,864
ACAD8,EHHADH,960
ACAD8,ETFA,902
ACAD8,ETFB,818
ACAD8,HADH,711
ACAD8,HADHA,961
ACAD8,HADHB,704
ACAD8,HIBCH,715
ACAD8,HSDL2,771
ACAD9,DBT,787
ACAD9,ECHS1,723
ACAD9,ECI2,924
ACAD9,ECSIT,999
ACAD9,EHHADH,748
ACAD9,ETFA,865
ACAD9,ETFB,846
ACAD9,ETFDH,734
ACAD9,FOXRED1,908
ACAD9,HADH,762
ACAD9,HADHA,938
ACAD9,HADHB,761
ACAD9,HSDL2,805
ACAD9,MT-ND2,811
ACAD9,NDUFA10,744
ACAD9,NDUFA11,717
ACAD9,NDUFA13,997
ACAD9,NDUFA2,745
ACAD9,NDUFA8,717
ACAD9,NDUFA9,768
ACAD9,NDUFAB1,770
ACAD9,NDUFAF2,783
ACAD9,NDUFAF3,998
ACAD9,NDUFAF4,935
ACAD9,NDUFAF5,867
ACAD9,NDUFAF7,746
ACAD9,NDUFB11,772
ACAD9,NDUFB5,785
ACAD9,NDUFC2,835
ACAD9,NDUFS1,774
ACAD9,NDUFS2,998
ACAD9,NDUFS3,998
ACAD9,NDUFS4,716
ACAD9,NDUFS5,995
ACAD9,NDUFS7,998
ACAD9,NDUFS8,827
ACAD9,NDUFV1,833
ACAD9,NDUFV2,779
ACAD9,TIMMDC1,999
ACADL,ACADS,935
ACADL,ACADSB,931
ACADL,ACADVL,951
ACADL,ACOX1,972
ACADL,ACOX3,961
ACADL,ACSL1,868
ACADL,ACSS1,723
ACADL,CPT1A,762
ACADL,CPT2,982
ACADL,ECHS1,976
ACADL,ECI1,730
ACADL,ECI2,907
ACADL,EHHADH,977
ACADL,ETFA,831
ACADL,ETFB,822
ACADL,ETFDH,743
ACADL,FASN,709
ACADL,HADH,890
ACADL,HADHA,992
ACADL,HADHB,994
ACADL,HSDL2,781
ACADL,MCCC2,717
ACADL,MECR,935
ACADL,PCCB,729
ACADL,PLIN2,730
ACADL,SCP2,705
ACADL,SIRT3,886
ACADM,ACADVL,713
ACADM,ACAT1,717
ACADM,ACOX1,824
ACADM,ACOX3,735
ACADM,ACSL1,728
ACADM,ALDH9A1,701
ACADM,ATP8A1,719
ACADM,CLPP,761
ACADM,CPT1A,756
ACADM,CPT2,853
ACADM,DECR1,755
ACADM,ECHS1,863
ACADM,ECI1,732
ACADM,ECI2,916
ACADM,EHHADH,814
ACADM,ETFA,995
ACADM,ETFB,991
ACADM,ETFDH,766
ACADM,FASN,736
ACADM,HADH,911
ACADM,HADHA,934
ACADM,HADHB,886
ACADM,HIBCH,729
ACADM,HSD17B4,754
ACADM,HSDL2,835
ACADM,PCCB,726
ACADM,RPL9,767
ACADM,SCP2,745
ACADM,SLC25A20,721
ACADM,SLC30A9,812
ACADM,SUCLA2,755
ACADS,ACADSB,948
ACADS,ACAT1,967
ACADS,ACAT2,960
ACADS,ACOX1,951
ACADS,ACOX3,925
ACADS,ACSS1,950
ACADS,ACSS2,950
ACADS,ACSS3,941
ACADS,ALDH1B1,885
ACADS,ALDH2,906
ACADS,ALDH3A2,883
ACADS,ALDH6A1,948
ACADS,ALDH7A1,887
ACADS,ALDH9A1,912
ACADS,AOX1,833
ACADS,CPT2,922
ACADS,DBT,942
ACADS,DHRS4,865
ACADS,ECHDC1,982
ACADS,ECHS1,994
ACADS,ECI1,825
ACADS,ECI2,928
ACADS,EHHADH,984
ACADS,ETFA,914
ACADS,ETFB,924
ACADS,ETFDH,759
ACADS,ETHE1,749
ACADS,GCDH,931
ACADS,HADH,875
ACADS,HADHA,992
ACADS,HADHB,985
ACADS,HIBADH,884
ACADS,HSD17B4,723
ACADS,HSDL2,794
ACADS,MCCC2,701
ACADS,MECR,935
ACADS,PCCA,957
ACADS,PCCB,962
ACADS,SIRT3,728
ACADS,SLC25A20,790
ACADSB,ACAT1,968
ACADSB,ACAT2,962
ACADSB,ACOX1,950
ACADSB,ACOX3,923
ACADSB,ALDH6A1,755
ACADSB,BCKDHA,712
ACADSB,BCKDHB,753
ACADSB,DBT,951
ACADSB,ECHDC1,890
ACADSB,ECHS1,993
ACADSB,ECI1,779
ACADSB,ECI2,917
ACADSB,EHHADH,982
ACADSB,ETFA,846
ACADSB,ETFB,805
ACADSB,ETHE1,733
ACADSB,GCDH,946
ACADSB,HADH,806
ACADSB,HADHA,987
ACADSB,HADHB,986
ACADSB,HIBCH,795
ACADSB,HSDL2,787
ACADSB,MCCC2,717
ACADSB,MECR,933
ACADVL,ACOX1,971
ACADVL,ACOX3,934
ACADVL,ACSL1,841
ACADVL,CPT1A,708
ACADVL,CPT2,995
ACADVL,ECH1,729
ACADVL,ECHDC2,752
ACADVL,ECHS1,981
ACADVL,ECI1,739
ACADVL,ECI2,908
ACADVL,EHHADH,977
ACADVL,ETFA,877
ACADVL,ETFB,884
ACADVL,ETFDH,817
ACADVL,FASN,791
ACADVL,HADH,882
ACADVL,HADHA,995
ACADVL,HADHB,988
ACADVL,HIBCH,891
ACADVL,HMGCL,704
ACADVL,HSDL2,787
ACADVL,MECR,931
ACADVL,SIRT3,778
ACADVL,SLC25A20,776
ACAN,ADAMTS1,860
