gene1,gene2,combined_score
AAAS,SEH1L,994
AAAS,SNRPB,426
AAAS,SNRPD1,460
AAAS,SNRPD2,485
AAAS,SNRPD3,453
AAAS,SNRPE,476
AAAS,SNRPF,461
AAAS,SP100,403
AAAS,SRRM1,516
AAAS,SRSF1,476
AAAS,SRSF11,426
AAAS,SRSF2,421
AAAS,SRSF3,458
AAAS,SRSF4,405
AAAS,SRSF5,414
AAAS,SRSF6,435
AAAS,SRSF7,453
AAAS,SRSF9,421
AAAS,SUMO2,408
AAAS,SUMO3,405
AAAS,SYMPK,426
AAAS,THOC1,421
AAAS,THOC2,441
AAAS,THOC3,488
AAAS,THOC5,466
AAAS,THOC6,486
AAAS,THOC7,409
AAAS,TPR,937
AAAS,U2AF1,453
AAAS,U2AF2,453
AAAS,UPF3B,507
AAAS,WDR33,415
AAAS,XPOT,417
AAAS,ZC3H11A,416
AACS,ACAA1,564
AACS,ACAA2,561
AACS,ACACA,598
AACS,ACACB,411
AACS,ACAD9,424
AACS,ACADL,432
AACS,ACADM,405
AACS,ACADSB,444
AACS,ACADVL,425
AACS,ACAT1,962
AACS,ACAT2,958
AACS,ACLY,595
AACS,ACO2,413
AACS,ACOX1,490
AACS,ACOX2,424
AACS,ACOX3,413
AACS,ACSF2,556
AACS,ACSF3,687
AACS,ALDH2,463
AACS,ALDH3A2,425
AACS,ALDH3B1,547
AACS,ALDH5A1,507
AACS,AUH,516
AACS,BDH1,936
AACS,BDH2,939
AACS,CKAP5,401
AACS,COASY,405
AACS,CRYL1,459
AACS,CS,735
AACS,CYP51A1,495
AACS,DHCR7,482
AACS,DIP2A,485
AACS,DIP2B,448
AACS,DIP2C,444
AACS,ECHDC1,463
AACS,ECHS1,532
AACS,ECI1,440
AACS,EEF1E1,411
AACS,EHHADH,945
AACS,FASN,655
AACS,FDPS,588
AACS,GAR1,735
AACS,GCDH,410
AACS,HADH,503
AACS,HADHA,426
AACS,HADHB,519
AACS,HIBCH,420
AACS,HMGCL,962
AACS,HSD17B4,436
AACS,HSDL2,721
AACS,IDI1,451
AACS,IVD,415
AACS,LSS,525
AACS,ME1,493
AACS,ME2,406
AACS,ME3,410
AACS,MVD,429
AACS,MVK,532
AACS,NSDHL,467
AACS,OXCT1,958
AACS,PCCB,418
AACS,PEX5,416
AACS,PHGDH,433
AACS,PMPCA,567
AACS,SBSPON,443
AACS,SDHA,431
AACS,SDHC,433
AACS,SLC27A1,537
AACS,SORD,501
AACS,SULT1B1,409
AACS,TM7SF2,457
AAGAB,AP1G1,789
AAGAB,AP1G2,636
AAGAB,AP1S2,629
AAGAB,AP2A1,697
AAGAB,AP2A2,775
AAGAB,AP2S1,917
AAGAB,COG3,419
AAGAB,COG5,407
AAGAB,EXOC5,470
AAGAB,PTPN23,449
AAGAB,RABGEF1,422
AAGAB,SDR39U1,437
AAGAB,STX4,420
AAGAB,STXBP3,495
AAGAB,TGFBRAP1,456
AAGAB,VAC14,415
AAGAB,VPS45,424
AAGAB,VPS8,428
AAK1,AGFG1,568
AAK1,AP1B1,637
AAK1,AP2A1,780
AAK1,AP2A2,614
AAK1,AP2B1,958
AAK1,AP2M1,979
AAK1,AP2S1,954
AAK1,APOB,521
AAK1,ARF6,504
AAK1,ARFGAP1,400
AAK1,ARRB1,568
AAK1,ARRB2,550
AAK1,BIN1,528
AAK1,CLTA,628
AAK1,CLTB,796
AAK1,CLTC,769
AAK1,DAB2,641
AAK1,DBN1,533
AAK1,DBNL,538
AAK1,DVL2,520
AAK1,EPN1,697
AAK1,EPN2,743
AAK1,EPS15,960
AAK1,EPS15L1,609
AAK1,FCHO2,704
AAK1,GABARAPL1,585
AAK1,GABARAPL2,613
AAK1,GAK,785
AAK1,HIP1R,498
AAK1,ITSN1,704
AAK1,ITSN2,697
AAK1,JAK1,591
AAK1,JAK2,477
AAK1,LDLR,508
AAK1,LDLRAP1,571
AAK1,NECAP1,701
AAK1,NECAP2,836
AAK1,NEDD4L,412
AAK1,NFU1,537
AAK1,NUMB,661
AAK1,NUMBL,656
AAK1,PICALM,673
AAK1,RALBP1,844
AAK1,REPS1,971
AAK1,SYNJ1,403
AAK1,SYNRG,403
AAK1,UBQLN2,553
AAK1,VAMP2,559
AAK1,VAMP3,500
AAK1,VAMP7,506
AAK1,VAMP8,499
AAMDC,CASTOR1,426
AAMDC,FHL3,510
AAMDC,INTS4,589
AAMDC,LSM12,447
AAMDC,MOCS1,463
AAMDC,RSF1,460
AAMDC,SMIM12,419
AAMDC,TMEM14C,419
AAMP,ARPC2,494
AAMP,ASAH1,460
AAMP,AUP1,448
AAMP,BOP1,639
AAMP,BYSL,544
AAMP,CIAO1,470
AAMP,DDX41,451
AAMP,DDX47,447
AAMP,DKC1,601
AAMP,DRG1,439
AAMP,EGFR,915
AAMP,EIF6,417
AAMP,ERBIN,448
AAMP,FARSA,446
AAMP,GAR1,584
AAMP,GNL1,426
AAMP,GNL3,435
AAMP,GRWD1,863
AAMP,GTPBP4,408
AAMP,HSPBP1,667
AAMP,IDH3B,594
AAMP,INPP5K,523
AAMP,LSG1,589
AAMP,MLF2,547
AAMP,MRPL16,667
AAMP,MRTO4,712
AAMP,NAT10,416
AAMP,NHP2,607
AAMP,NLE1,499
AAMP,NMD3,710
AAMP,NOC4L,534
AAMP,PA2G4,441
AAMP,PUM1,518
AAMP,RAB29,405
AAMP,RCL1,560
AAMP,RHOA,402
AAMP,RPF2,589
AAMP,RPL10,957
AAMP,RPLP0,410
AAMP,RRP12,479
AAMP,RRP1B,406
AAMP,RSL1D1,576
AAMP,RTCB,453
AAMP,RWDD1,412
AAMP,SIL1,650
AAMP,TBL3,708
AAMP,TSR1,460
AAMP,UTP18,688
AAMP,WDR12,608
AAMP,WDR3,410
AAMP,WDR36,552
AAMP,WDR43,599
AAMP,WNK1,465
AAR2,AQR,484
AAR2,BCAS2,591
AAR2,CD2BP2,967
AAR2,CDC5L,514
AAR2,COPS5,656
AAR2,CRNKL1,483
AAR2,DDX23,980
AAR2,DDX46,482
AAR2,DHX15,435
AAR2,DHX38,527
AAR2,EEF2,560
AAR2,EFL1,473
AAR2,EFTUD2,994
AAR2,EIF2AK4,498
AAR2,GFM1,566
AAR2,GHDC,467
AAR2,GPN1,447
AAR2,HARS2,423
AAR2,KIAA1143,423
AAR2,NCDN,851
AAR2,NHP2,495
AAR2,PEF1,453
AAR2,PIH1D1,571
AAR2,PLRG1,462
AAR2,PMPCA,489
AAR2,PRPF19,580
AAR2,PRPF3,497
AAR2,PRPF31,584
AAR2,PRPF38A,564
AAR2,PRPF4,616
AAR2,PRPF6,955
AAR2,PRPF8,999
AAR2,PSMD13,482
AAR2,PTGES3,514
AAR2,PUF60,403
AAR2,PYM1,440
AAR2,RBM22,452
AAR2,RNPS1,451
AAR2,RPAP3,507
AAR2,RUVBL1,649
AAR2,RUVBL2,677
AAR2,SART1,525
AAR2,SART3,562
AAR2,SNRNP200,996
AAR2,SNRNP40,974
AAR2,SNRPA1,484
AAR2,SNRPB,852
AAR2,SNRPD1,794
AAR2,SNRPD2,758
AAR2,SNRPD3,796
AAR2,SNRPE,775
AAR2,SNRPF,779
AAR2,SNU13,602
AAR2,SRRM2,412
AAR2,TBRG4,530
AAR2,TFIP11,440
AAR2,TMEM222,437
AAR2,TSSC4,933
AAR2,TTC27,768
AAR2,TXNL4A,797
AAR2,USP39,451
AAR2,XAB2,546
AARS1,AARS2,910
AARS1,AARSD1,878
AARS1,ABCE1,550
AARS1,AIMP1,918
AARS1,AIMP2,888
AARS1,AK1,458
AARS1,ANAPC1,832
AARS1,ANAPC2,722
AARS1,ANAPC4,844
AARS1,ANAPC5,783
AARS1,ASNS,840
AARS1,ATP5IF1,664
AARS1,CARS1,872
AARS1,CARS2,853
AARS1,CCDC127,608
AARS1,CDC16,837
AARS1,CIAPIN1,467
AARS1,CLCN7,400
AARS1,CNOT10,468
AARS1,CTPS1,435
AARS1,CTPS2,408
AARS1,DARS1,743
AARS1,DARS2,907
AARS1,DHTKD1,402
AARS1,DYNC1H1,413
AARS1,EARS2,894
AARS1,EEF1A1,449
AARS1,EEF1E1,754
AARS1,EEF1G,458
AARS1,EEF2,473
AARS1,EEFSEC,472
AARS1,EIF2AK4,636
AARS1,EIF2B1,439
AARS1,EIF2S1,471
AARS1,EIF2S2,494
AARS1,EIF3C,448
AARS1,EIF5B,715
AARS1,EPRS1,976
AARS1,ETF1,601
AARS1,FARS2,872
AARS1,FARSA,627
AARS1,FARSB,814
AARS1,FGD4,407
AARS1,FIG4,403
AARS1,GARS1,983
AARS1,GART,412
AARS1,GATB,832
AARS1,GATC,627
AARS1,GDAP1,510
AARS1,GFM1,583
AARS1,GMPS,433
AARS1,H6PD,478
AARS1,HARS2,893
AARS1,HSD17B4,719
AARS1,HSPA5,498
AARS1,HSPB11,611
AARS1,HYOU1,709
AARS1,IARS1,980
AARS1,IARS2,942
AARS1,KARS1,992
AARS1,LARS1,968
AARS1,LARS2,929
AARS1,LRRC47,433
AARS1,LRSAM1,495
AARS1,MARS1,913
AARS1,ME1,414
AARS1,ME2,420
AARS1,ME3,410
AARS1,MRPL39,417
AARS1,MRPL58,413
AARS1,MRRF,628
AARS1,MTFMT,526
AARS1,MTMR2,417
AARS1,NARS1,947
AARS1,NARS2,881
AARS1,NEMF,684
AARS1,NMD3,512
AARS1,NSUN2,550
AARS1,OLA1,411
AARS1,PARS2,890
AARS1,PHGDH,448
AARS1,POLR1A,462
AARS1,POLR3A,406
AARS1,PPA1,576
AARS1,PPA2,560
AARS1,PRPS1,403
AARS1,PSAT1,560
AARS1,QARS1,964
AARS1,QRSL1,601
AARS1,QTRT1,431
AARS1,QTRT2,407
AARS1,RARS1,850
AARS1,RARS2,911
AARS1,RNMT,402
AARS1,RPA1,724
AARS1,RPS18,729
AARS1,SAR1B,593
AARS1,SARS1,881
AARS1,SARS2,867
AARS1,SBF2,400
AARS1,SHMT2,506
AARS1,SIL1,725
AARS1,SLC3A2,533
AARS1,STAT1,498
AARS1,TARS1,929
AARS1,TARS2,924
AARS1,TARS3,955
AARS1,TRNT1,574
AARS1,TSFM,750
AARS1,TUFM,480
AARS1,UBA1,676
AARS1,UQCRC1,430
AARS1,VARS1,938
AARS1,VARS2,927
AARS1,WARS1,906
AARS1,WARS2,879
AARS1,XPNPEP1,589
AARS1,XPOT,401
AARS1,YARS1,996
AARS1,YARS2,938
AARS2,ACAD9,522
AARS2,AIMP1,612
AARS2,AIMP2,489
AARS2,AK1,470
AARS2,AK3,455
AARS2,ANAPC1,834
AARS2,ANAPC2,735
AARS2,ANAPC4,848
AARS2,ANAPC5,773
AARS2,ANAPC7,412
AARS2,ATP5IF1,696
AARS2,BCKDK,486
AARS2,BCS1L,462
AARS2,CARS1,768
AARS2,CARS2,824
AARS2,CDC16,843
AARS2,CLCN7,406
AARS2,CLPB,400
AARS2,CLPP,525
AARS2,CTPS1,418
AARS2,CTPS2,425
AARS2,DARS1,405
AARS2,DARS2,955
AARS2,DIS3L2,444
AARS2,DLD,402
AARS2,EARS2,927
AARS2,EIF2AK4,514
AARS2,EIF2B1,494
AARS2,EIF3C,429
AARS2,EIF5B,680
AARS2,ELAC2,552
AARS2,EPRS1,898
AARS2,FARS2,833
AARS2,FARSA,462
AARS2,FARSB,507
AARS2,FOXRED1,443
AARS2,GARS1,877
AARS2,GATB,612
AARS2,GFM1,632
AARS2,H6PD,489
AARS2,HARS2,871
AARS2,HSPB11,609
AARS2,IARS1,863
AARS2,IARS2,918
AARS2,INTS1,516
AARS2,KARS1,829
AARS2,LARS1,832
AARS2,LARS2,924
AARS2,LRRC47,434
AARS2,MARS1,841
AARS2,ME1,411
AARS2,ME2,468
AARS2,ME3,410
AARS2,MORC3,449
AARS2,MRPL16,412
AARS2,MRPL39,423
AARS2,MRPL44,422
AARS2,MRPL55,443
AARS2,MRPL58,658
AARS2,MRPS16,435
AARS2,MRPS22,524
AARS2,MRPS34,426
AARS2,MRRF,640
AARS2,MTFMT,565
AARS2,MTIF2,504
AARS2,MTRF1L,443
AARS2,NARS1,791
AARS2,NARS2,845
AARS2,NDUFS3,414
AARS2,NUDCD1,624
AARS2,PARS2,886
AARS2,PIGO,476
AARS2,PNPT1,430
AARS2,POLR1A,516
AARS2,POLR3A,556
AARS2,PPA1,468
AARS2,PPA2,532
AARS2,PTCD3,411
AARS2,PUS1,497
AARS2,QARS1,875
AARS2,QRSL1,512
AARS2,RARS1,774
AARS2,RARS2,905
AARS2,RPA1,667
AARS2,RPL23,400
AARS2,RPS18,553
AARS2,SAMM50,407
AARS2,SARS1,775
AARS2,SARS2,793
AARS2,SHPK,489
AARS2,TACO1,506
AARS2,TARS1,864
AARS2,TARS2,910
AARS2,TARS3,870
AARS2,TBL2,400
AARS2,TRNT1,475
AARS2,TSFM,780
AARS2,TUFM,544
AARS2,UQCRC1,419
AARS2,VARS1,915
AARS2,VARS2,937
AARS2,VPS33B,449
AARS2,WARS1,850
AARS2,WARS2,876
AARS2,YARS1,927
AARS2,YARS2,890
AARSD1,CNOT11,451
AARSD1,EEF1A2,423
AARSD1,EXOSC7,468
AARSD1,ISG15,411
AARSD1,KARS1,710
AARSD1,NME2,463
AARSD1,PARVG,453
AARSD1,PPP1R14B,480
AARSD1,PTGES2,511
AARSD1,RPA1,569
AARSD1,SEPTIN8,470
AARSD1,SRRM1,465
AARSD1,TBCB,501
AASDHPPT,AASS,531
AASDHPPT,ACACA,545
AASDHPPT,ACACB,539
AASDHPPT,ACLY,492
AASDHPPT,ACSL1,474
AASDHPPT,ACSL3,475
AASDHPPT,ADH5,401
AASDHPPT,AGPS,408
AASDHPPT,ATP5F1B,693
AASDHPPT,BRD4,541
AASDHPPT,CDC5L,483
AASDHPPT,CNTNAP1,441
AASDHPPT,COASY,913
AASDHPPT,DLD,845
AASDHPPT,FASN,987
AASDHPPT,HAT1,883
AASDHPPT,LACTB2,517
AASDHPPT,MCAT,880
AASDHPPT,MRPL1,414
AASDHPPT,MXRA8,483
AASDHPPT,NDUFAB1,780
AASDHPPT,OXSM,761
AASDHPPT,PAICS,618
AASDHPPT,POLDIP3,702
AASDHPPT,RBBP7,638
AASDHPPT,SDHA,557
AASDHPPT,SSBP1,406
AASDHPPT,TMEM126A,831
AASDHPPT,TRAPPC13,509
AASDHPPT,TRPC4,569
AASDHPPT,UMPS,478
AASDHPPT,VBP1,570
AASS,ACO2,434
AASS,ACSL1,412
AASS,ALDH18A1,537
AASS,ALDH1L1,422
AASS,ALDH1L2,414
AASS,ALDH7A1,956
AASS,ASL,529
AASS,ASS1,733
AASS,BTD,819
AASS,GET4,440
AASS,GLS,425
AASS,GLUD1,408
AASS,GSTK1,413
AASS,GTF2F1,694
AASS,IDH3A,505
AASS,ILVBL,457
AASS,IVD,404
AASS,KYAT1,433
AASS,KYAT3,407
AASS,MCEE,414
AASS,OAT,562
AASS,PHGDH,437
AASS,PHYKPL,944
AASS,SEPSECS,403
AASS,SLC25A12,404
AASS,SOD2,794
AASS,SRM,936
AASS,TERF2,588
AASS,TRMT112,425
ABAT,ACADS,816
ABAT,ACO2,442
ABAT,ACOX1,846
ABAT,ACOX3,836
ABAT,ACSS1,827
ABAT,ACSS2,829
ABAT,ACSS3,828
ABAT,ALAD,602
ABAT,ALDH16A1,436
ABAT,ALDH18A1,433
ABAT,ALDH1A1,438
ABAT,ALDH1A2,436
ABAT,ALDH1A3,476
ABAT,ALDH1B1,949
ABAT,ALDH1L1,489
ABAT,ALDH1L2,400
ABAT,ALDH2,945
ABAT,ALDH3A2,947
ABAT,ALDH3B1,942
ABAT,ALDH4A1,610
ABAT,ALDH5A1,994
ABAT,ALDH6A1,963
ABAT,ALDH7A1,954
ABAT,ALDH9A1,945
ABAT,AOX1,905
ABAT,ARG1,457
ABAT,ASL,464
ABAT,ASNS,495
ABAT,ASS1,482
ABAT,BCAT1,445
ABAT,BCAT2,454
ABAT,BTD,449
ABAT,CNDP1,947
ABAT,CNDP2,934
ABAT,CS,413
ABAT,CSAD,562
ABAT,DBT,840
ABAT,ECHDC1,852
ABAT,ECHS1,401
ABAT,EHHADH,936
ABAT,FAH,530
ABAT,FH,754
ABAT,GATM,814
ABAT,GLUD1,729
ABAT,GLUL,562
ABAT,GOT1,630
ABAT,GPI,443
ABAT,GPT,427
ABAT,HIBADH,938
ABAT,HIBCH,448
ABAT,L2HGDH,477
ABAT,MAOA,475
ABAT,MAOB,512
ABAT,NIT1,434
ABAT,NIT2,475
ABAT,OAT,470
ABAT,OGDH,456
ABAT,PCCA,821
ABAT,PCCB,826
ABAT,PDXK,513
ABAT,PGD,402
ABAT,PPAT,467
ABAT,SEPSECS,425
ABAT,SGPL1,581
ABAT,SORD,707
ABAT,SPATA20,567
ABAT,VNN1,416
ABAT,VNN2,415
ABCA1,ABCA8,509
ABCA1,ACACA,485
ABCA1,ACLY,405
ABCA1,ACOX1,533
ABCA1,ACOX3,492
ABCA1,ACSL1,505
ABCA1,ACTB,551
ABCA1,ADIPOQ,488
ABCA1,AGO1,563
ABCA1,AGO2,637
ABCA1,AGO3,541
ABCA1,AGPAT1,418
ABCA1,AKT1,496
ABCA1,APOA1,999
ABCA1,APOA2,874
ABCA1,APOA4,507
ABCA1,APOA5,610
ABCA1,APOB,861
ABCA1,APOC1,544
ABCA1,APOC2,585
ABCA1,APOC3,744
ABCA1,APOC4,443
ABCA1,APOD,515
ABCA1,APOE,980
ABCA1,APOH,440
ABCA1,APOM,514
ABCA1,APP,550
ABCA1,ARG1,400
ABCA1,ARHGEF12,623
ABCA1,BCKDK,435
ABCA1,C1QA,452
ABCA1,C1QB,430
ABCA1,CANX,454
ABCA1,CARM1,463
ABCA1,CAV1,692
ABCA1,CD36,831
ABCA1,CD5L,454
ABCA1,CD68,531
ABCA1,CDC42,748
ABCA1,CETP,831
ABCA1,CFH,541
ABCA1,CLU,471
ABCA1,COPS2,510
ABCA1,CPT1A,570
ABCA1,CRP,445
ABCA1,CYP27A1,671
ABCA1,CYP51A1,433
ABCA1,CYP7B1,486
ABCA1,DAG1,422
ABCA1,DGAT1,427
ABCA1,DHCR7,479
ABCA1,DMD,567
ABCA1,EP300,607
ABCA1,FABP4,458
ABCA1,FASN,628
ABCA1,FDPS,410
ABCA1,FGA,625
ABCA1,FGB,510
ABCA1,FLOT1,519
ABCA1,GALNT2,446
ABCA1,GAPDH,548
ABCA1,GMDS,406
ABCA1,GULP1,829
ABCA1,HADHB,480
ABCA1,HDAC3,508
ABCA1,ICAM1,505
ABCA1,JAK2,625
ABCA1,LCAT,912
ABCA1,LDLRAP1,412
ABCA1,LIPA,736
ABCA1,LIPC,746
ABCA1,LIPE,473
ABCA1,LPA,740
ABCA1,LPL,670
ABCA1,LRP1,540
ABCA1,MED1,496
ABCA1,MMP9,458
ABCA1,MOV10,503
ABCA1,MPO,422
ABCA1,MRC1,428
ABCA1,MSR1,435
ABCA1,MVK,404
ABCA1,NCEH1,475
ABCA1,NCOR1,592
ABCA1,NFKB1,412
ABCA1,NIPSNAP3A,707
ABCA1,NIPSNAP3B,715
ABCA1,NOS3,429
ABCA1,NPC1,816
ABCA1,NPC2,589
ABCA1,OLR1,668
ABCA1,OSBP,415
ABCA1,PCSK9,664
ABCA1,PDK4,473
ABCA1,PLIN2,681
ABCA1,PLTP,829
ABCA1,PON1,623
ABCA1,PREB,403
ABCA1,PRKACA,584
ABCA1,PRKACB,592
ABCA1,PXDN,426
ABCA1,RELA,419
ABCA1,RHOA,546
ABCA1,RXRA,916
ABCA1,SCARB1,934
ABCA1,SCARB2,830
ABCA1,SCD,558
ABCA1,SKP1,532
ABCA1,SLC2A4,430
ABCA1,SNAP23,438
ABCA1,SNTA1,607
ABCA1,SNTB1,750
ABCA1,SNTB2,830
ABCA1,SOAT1,630
ABCA1,SOD2,538
ABCA1,SPTLC1,871
ABCA1,SPTLC2,587
ABCA1,STAT3,815
ABCA1,STC1,451
ABCA1,STX12,538
ABCA1,TBL1XR1,447
ABCA1,TFRC,504
ABCA1,TLR2,428
ABCA1,TMCO1,413
ABCA1,TREM2,412
ABCA1,TTR,403
ABCA1,UTRN,706
ABCA1,VCAM1,522
ABCA1,VLDLR,582
ABCA6,ABCA8,683
ABCA6,ABCC3,487
ABCA6,ABCF3,467
ABCA6,APOD,468
ABCA6,MAP2K6,594
ABCA8,ABCC1,553
ABCA8,ABCF1,424
